scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
Mid-Market DL (£100M),0.02,0.4,43,0.06,0.07407953,0.759263624,113274226.84
Mid-Market DL (£100M),0.02,0.4,44,0.06,0.09188439,0.435403732,110391725.12
Mid-Market DL (£100M),0.02,0.4,45,0.06,0.09049197,0.678568162,112795521.02
Mid-Market DL (£100M),0.02,0.4,46,0.06,0.098289425,0.574915238,111914940.88
Mid-Market DL (£100M),0.02,0.4,47,0.06,0.0925793,0.540727972,111458865.72
Mid-Market DL (£100M),0.02,0.4,48,0.06,0.081297405,0.765037924,113476327.34
Mid-Market DL (£100M),0.02,0.4,49,0.06,0.097866215,0.567363372,111830958.02
Mid-Market DL (£100M),0.05,0.4,0,0.06,0.07044909675,0.2611844805,108220826.74
Mid-Market DL (£100M),0.05,0.4,1,0.06,0.08527415,0.086393754,106769420.54
Mid-Market DL (£100M),0.05,0.4,2,0.06,0.07793355,0.645782706,112216498.06
Mid-Market DL (£100M),0.05,0.4,3,0.06,0.06886322025,0.3055911115,108633175.52
Mid-Market DL (£100M),0.05,0.4,4,0.06,0.096647125,0.509053048,111223472.98
Mid-Market DL (£100M),0.05,0.4,5,0.06,0.07018978275,0.3756466405,109360262.06
Mid-Market DL (£100M),0.05,0.4,6,0.06,0.089147565,0.2225046,108207997.3
Mid-Market DL (£100M),0.05,0.4,7,0.06,0.07077937,0.27002658,108315853.2
Mid-Market DL (£100M),0.05,0.4,8,0.06,-0.02867642,-0.517760756,98448864.04
Mid-Market DL (£100M),0.05,0.4,9,0.06,0.09952422,0.2725215,108915699.4
Mid-Market DL (£100M),0.05,0.4,10,0.06,0.06945258,0.737543,112964481.6
Mid-Market DL (£100M),0.05,0.4,11,0.06,0.084250985,0.527683042,111161850.12
Mid-Market DL (£100M),0.05,0.4,12,0.06,0.087426975,0.394513976,109893679.26
Mid-Market DL (£100M),0.05,0.4,13,0.06,0.09427345,-0.110652208,104978946.92
Mid-Market DL (£100M),0.05,0.4,14,0.06,0.09867022,0.446655308,110639957.48
Mid-Market DL (£100M),0.05,0.4,15,0.06,0.09466429,0.400638308,110099668.88
Mid-Market DL (£100M),0.05,0.4,16,0.06,0.085495335,0.266969012,108579596.82
Mid-Market DL (£100M),0.05,0.4,17,0.06,0.06987027225,0.7445045375,113042450.82
Mid-Market DL (£100M),0.05,0.4,18,0.06,0.09410134,0.310312728,109185154.08
Mid-Market DL (£100M),0.05,0.4,19,0.06,0.082920215,0.766336172,113521766.02
Mid-Market DL (£100M),0.05,0.4,20,0.06,0.083666025,0.254646878,108419789.28
Mid-Market DL (£100M),0.05,0.4,21,0.06,0.09451353,0.5846445,111936715.6
Mid-Market DL (£100M),0.05,0.4,22,0.06,0.092177525,0.65035701,112547120.6
Mid-Market DL (£100M),0.05,0.4,23,0.06,0.09184688,0.44736979,110510635.5
Mid-Market DL (£100M),0.05,0.4,24,0.06,0.081594785,0.379176018,109623655.88
Mid-Market DL (£100M),0.05,0.4,25,0.06,0.09628223,0.777025784,113895902.44
Mid-Market DL (£100M),0.05,0.4,26,0.06,0.09491428,0.568110712,111779392.72
Mid-Market DL (£100M),0.05,0.4,27,0.06,0.09194078,0.773552624,113774341.84
Mid-Market DL (£100M),0.05,0.4,28,0.06,0.09395986,0.413567332,110214870.52
Mid-Market DL (£100M),0.05,0.4,29,0.06,0.084889505,0.410315114,110000941.24
Mid-Market DL (£100M),0.05,0.4,30,0.06,0.0695724315,0.389145641,109482905.04
Mid-Market DL (£100M),0.05,0.4,31,0.06,0.0990743,0.77925944,113974080.4
Mid-Market DL (£100M),0.05,0.4,32,0.06,-0.1055656695,-0.207807979,100010606.82
Mid-Market DL (£100M),0.05,0.4,33,0.06,0.077124225,0.379836366,109540848.16
Mid-Market DL (£100M),0.05,0.4,34,0.06,0.091542505,0.773234004,113763190.14
Mid-Market DL (£100M),0.05,0.4,35,0.06,0.0984729,0.16355675,107805025.5
Mid-Market DL (£100M),0.05,0.4,36,0.06,0.088602115,0.326716968,109239211.98
Mid-Market DL (£100M),0.05,0.4,37,0.06,0.069695802,0.193495942,107528875.46
Mid-Market DL (£100M),0.05,0.4,38,0.06,0.09774082,0.281606776,108970884.16
Mid-Market DL (£100M),0.05,0.4,39,0.06,0.085845705,0.588019624,111797110.34
Mid-Market DL (£100M),0.05,0.4,40,0.06,0.090811135,0.358205396,109598276.66
Mid-Market DL (£100M),0.05,0.4,41,0.06,0.09226046,-0.123758648,104807622.72
Mid-Market DL (£100M),0.05,0.4,42,0.06,0.08404683,-0.298833324,102892603.36
Mid-Market DL (£100M),0.05,0.4,43,0.06,0.0670745325,0.554590633,111087396.98
Mid-Market DL (£100M),0.05,0.4,44,0.06,0.099682835,0.144978338,107643440.08
Mid-Market DL (£100M),0.05,0.4,45,0.06,0.085645215,0.587991914,111792823.44
Mid-Market DL (£100M),0.05,0.4,46,0.06,0.099717255,0.534328236,111537627.46
Mid-Market DL (£100M),0.05,0.4,47,0.06,0.08606821,0.523541904,111156783.24
Mid-Market DL (£100M),0.05,0.4,48,0.06,0.09930369,0.254813736,108734211.16
Mid-Market DL (£100M),0.05,0.4,49,0.06,0.08878967,0.564004526,111615838.66
Mid-Market DL (£100M),0.1,0.4,0,0.06,0.094001125,0.514053124,111220553.74
Mid-Market DL (£100M),0.1,0.4,1,0.06,0.07905072,0.335502298,109136037.38
Mid-Market DL (£100M),0.1,0.4,2,0.06,0.097307045,-0.433041302,101815727.88
Mid-Market DL (£100M),0.1,0.4,3,0.06,0.09246478,0.405182612,110101121.72
Mid-Market DL (£100M),0.1,0.4,4,0.06,0.080939475,0.286658596,108685375.46
Mid-Market DL (£100M),0.1,0.4,5,0.06,0.086547355,-0.088107172,105049875.38
Mid-Market DL (£100M),0.1,0.4,6,0.06,0.095333925,0.5465001,111571679.5
Mid-Market DL (£100M),0.1,0.4,7,0.06,0.09444808,-0.191328496,104175676.64
Mid-Market DL (£100M),0.1,0.4,8,0.06,0.090256975,0.273007574,108735215.24
Mid-Market DL (£100M),0.1,0.4,9,0.06,0.0696420585,0.195984089,107552682.06
Mid-Market DL (£100M),0.1,0.4,10,0.06,0.09512198,-0.294424082,103158198.78
Mid-Market DL (£100M),0.1,0.4,11,0.06,-0.216057065,-0.603057632,93848282.38
Mid-Market DL (£100M),0.1,0.4,12,0.06,0.07211641,-0.302890412,102613424.08
Mid-Market DL (£100M),0.1,0.4,13,0.06,0.089937445,0.147962864,107478377.54
Mid-Market DL (£100M),0.1,0.4,14,0.06,0.09574149,-0.063908724,105475742.56
Mid-Market DL (£100M),0.1,0.4,15,0.06,0.093621295,0.173673232,107809158.22
Mid-Market DL (£100M),0.1,0.4,16,0.06,0.099215785,-0.274547804,103438837.66
Mid-Market DL (£100M),0.1,0.4,17,0.06,0.098835165,-0.264410234,103532600.96
Mid-Market DL (£100M),0.1,0.4,18,0.06,0.080647415,0.118137108,106994319.38
Mid-Market DL (£100M),0.1,0.4,19,0.06,0.09352868,0.214403998,108214613.58
Mid-Market DL (£100M),0.1,0.4,20,0.06,0.096929865,0.271189124,108850488.54
Mid-Market DL (£100M),0.1,0.4,21,0.06,0.075243995,0.348820686,109193086.76
Mid-Market DL (£100M),0.1,0.4,22,0.06,0.0987937,-0.179167952,104384194.48
Mid-Market DL (£100M),0.1,0.4,23,0.06,0.093557145,0.527165422,111342797.12
Mid-Market DL (£100M),0.1,0.4,24,0.06,0.095206455,0.187843926,107982568.36
Mid-Market DL (£100M),0.1,0.4,25,0.06,0.08927351,0.533278372,111318253.92
Mid-Market DL (£100M),0.1,0.4,26,0.06,0.09338538,0.496511372,111032821.32
Mid-Market DL (£100M),0.1,0.4,27,0.06,0.0937201,-0.45724133,101501988.7
Mid-Market DL (£100M),0.1,0.4,28,0.06,0.08864175,0.272426386,108697098.86
Mid-Market DL (£100M),0.1,0.4,29,0.06,0.09846789,0.67330522,112902410.0
Mid-Market DL (£100M),0.1,0.4,30,0.06,0.09464078,0.274865972,108841475.32
Mid-Market DL (£100M),0.1,0.4,31,0.06,0.09159056,-0.128941546,104742395.74
Mid-Market DL (£100M),0.1,0.4,32,0.06,0.093717,-0.088868286,105185657.14
Mid-Market DL (£100M),0.1,0.4,33,0.06,0.02710036,-0.494620262,99795804.58
Mid-Market DL (£100M),0.1,0.4,34,0.06,0.03150679,-0.489864348,99931492.32
Mid-Market DL (£100M),0.1,0.4,35,0.06,0.08420427,0.001079948,105894884.88
Mid-Market DL (£100M),0.1,0.4,36,0.06,0.0951549,0.232696188,108430059.88
Mid-Market DL (£100M),0.1,0.4,37,0.06,0.064395245,-0.477294454,100714960.36
Mid-Market DL (£100M),0.1,0.4,38,0.06,0.0685161195,0.145137589,107021698.28
Mid-Market DL (£100M),0.1,0.4,39,0.06,0.05908965175,-0.1337775975,104044017.06
Mid-Market DL (£100M),0.1,0.4,40,0.06,0.09662868,0.105218146,107184755.06
Mid-Market DL (£100M),0.1,0.4,41,0.06,0.083754245,-0.40464001,101828684.8
Mid-Market DL (£100M),0.1,0.4,42,0.06,0.084104505,-0.334176574,102540324.36
Mid-Market DL (£100M),0.1,0.4,43,0.06,0.07598228,-0.169299456,104026651.04
Mid-Market DL (£100M),0.1,0.4,44,0.06,0.09243292,-0.409784748,101950810.92
Mid-Market DL (£100M),0.1,0.4,45,0.06,0.093858835,-0.0417828,105659348.7
Mid-Market DL (£100M),0.1,0.4,46,0.06,0.074293795,0.626886828,111954744.18
Mid-Market DL (£100M),0.1,0.4,47,0.06,0.067567668,0.24938981,108045251.46
Mid-Market DL (£100M),0.1,0.4,48,0.06,0.072000515,0.146358192,107103592.22
Mid-Market DL (£100M),0.1,0.4,49,0.06,0.09104259,0.772834072,113749192.52
Spec Sit Fund (£50M),0.02,0.4,0,0.08,0.147639408,0.7620218933333334,59960656.8
