scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
High Equity (10%),0.04,0.4,23,0.05,0.0790396,0.4232588,1093133.8
High Equity (10%),0.04,0.4,24,0.05,0.0708696,0.395836,1088757.52
High Equity (10%),0.04,0.4,25,0.05,0.0790376,0.33492,1084299.52
High Equity (10%),0.04,0.4,26,0.05,0.07912,0.3401576,1084839.76
High Equity (10%),0.04,0.4,27,0.05,0.0731684,0.4315428,1092787.96
High Equity (10%),0.04,0.4,28,0.05,0.0779464,0.4181336,1092402.64
High Equity (10%),0.04,0.4,29,0.05,0.0720412,0.3058124,1079989.48
High Equity (10%),0.04,0.4,30,0.05,0.06067,0.404234,1087557.4
High Equity (10%),0.04,0.4,31,0.05,0.0795996,0.4300684,1093926.76
High Equity (10%),0.04,0.4,32,0.05,0.0789148,0.4159268,1092375.64
High Equity (10%),0.04,0.4,33,0.05,0.0736764,0.57433,1107168.28
High Equity (10%),0.04,0.4,34,0.05,0.0792952,0.6663848,1117497.52
High Equity (10%),0.04,0.4,35,0.05,0.072604,0.490544,1098575.2
High Equity (10%),0.04,0.4,36,0.05,0.0781304,0.3697896,1087605.04
High Equity (10%),0.04,0.4,37,0.05,0.0780152,0.3747,1088073.04
High Equity (10%),0.04,0.4,38,0.05,0.0798796,0.4833692,1099312.84
High Equity (10%),0.04,0.4,39,0.05,0.0590592,0.4132432,1088136.16
High Equity (10%),0.04,0.4,40,0.05,0.071922,0.5115412,1100538.52
High Equity (10%),0.04,0.4,41,0.05,0.0661532,0.320862,1080316.84
High Equity (10%),0.04,0.4,42,0.05,0.0715112,0.5443944,1103741.68
High Equity (10%),0.04,0.4,43,0.05,0.0786348,0.504034,1101130.36
High Equity (10%),0.04,0.4,44,0.05,0.0671244,0.3997084,1088395.72
High Equity (10%),0.04,0.4,45,0.05,0.077862,0.388018,1089374.2
High Equity (10%),0.04,0.4,46,0.05,0.078458,0.2594388,1076635.48
High Equity (10%),0.04,0.4,47,0.05,0.05586684,0.46864792,1093038.16
High Equity (10%),0.04,0.4,48,0.05,0.0774588,0.4688596,1097377.72
High Equity (10%),0.04,0.4,49,0.05,0.0781524,0.2546116,1076091.64
High Junior Yield (12%),0.04,0.0,0,0.04990255,0.11976612,0.76794884,1096284.4
High Junior Yield (12%),0.04,0.0,1,0.04996815,0.11992356,0.85311692,1100618.9
High Junior Yield (12%),0.04,0.0,2,0.04952665,0.11886396,1.13672072,1114286.95
High Junior Yield (12%),0.04,0.0,3,0.04991205,0.11978892,1.34175744,1124985.85
High Junior Yield (12%),0.04,0.0,4,0.0499436,0.11986464,0.91205948,1103537.55
High Junior Yield (12%),0.04,0.0,5,0.04950755,0.040808453333333335,0.64809984,1078132.3
High Junior Yield (12%),0.04,0.0,6,0.04991805,0.08949032,0.67522824,1087119.4
High Junior Yield (12%),0.04,0.0,7,0.0499246,0.11981904,1.05994028,1110909.55
High Junior Yield (12%),0.04,0.0,8,0.04988895,0.11973348,1.28368336,1122055.35
High Junior Yield (12%),0.04,0.0,9,0.0492491,0.11819784,1.25215588,1119736.75
High Junior Yield (12%),0.04,0.0,10,0.04929185,0.11830044,1.20241608,1117299.35
High Junior Yield (12%),0.04,0.0,11,0.04982325,0.0575108,0.6596316,1081466.8
High Junior Yield (12%),0.04,0.0,12,0.04953475,-0.0004916,0.6298608,1071047.1
High Junior Yield (12%),0.04,0.0,13,0.04952965,0.11887116,1.05888412,1110398.6
High Junior Yield (12%),0.04,0.0,14,0.04815625,0.03573666666666667,0.628629,1075316.95
High Junior Yield (12%),0.04,0.0,15,0.04853135,0.057217573333333334,0.64306668,1079561.05
High Junior Yield (12%),0.04,0.0,16,0.0498971,0.11975304,0.99151528,1107456.4
High Junior Yield (12%),0.04,0.0,17,0.04994,0.119856,0.897092,1102785.0
