scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
SME Fund (£25M),0.1,0.4,28,0.04916005,0.017183506666666667,0.120428616,26198174.92
SME Fund (£25M),0.1,0.4,29,0.048668172,0.0778690752,0.2339200704,26557772.56
SME Fund (£25M),0.1,0.4,30,0.04989837,0.079837392,0.383984592,26777338.36
SME Fund (£25M),0.1,0.4,31,0.049997014,0.06697360906666666,0.1521774768,26441313.16
SME Fund (£25M),0.1,0.4,32,0.04998706,0.052762522666666666,0.143628528,26377136.32
SME Fund (£25M),0.1,0.4,33,0.04825096,-0.057466357333333336,0.073602336,25841523.28
SME Fund (£25M),0.1,0.4,34,0.049057842,0.0108105872,0.1163759184,26167166.44
SME Fund (£25M),0.1,0.4,35,0.049767234,-0.0666388656,0.0714952848,25834818.04
SME Fund (£25M),0.1,0.4,36,0.049500078,0.0154075248,0.1201246896,26197935.64
SME Fund (£25M),0.1,0.4,37,0.04992887,-0.028096114666666668,0.094983,26011945.72
SME Fund (£25M),0.1,0.4,38,0.048329082,0.0020034512,0.1094592144,26110918.6
SME Fund (£25M),0.1,0.4,39,0.04955952,-0.040238048,0.086870496,25948885.84
SME Fund (£25M),0.1,0.4,40,0.049918402,-0.027472410133333333,0.0953337744,26014513.72
SME Fund (£25M),0.1,0.4,41,0.049978748,0.0799659968,0.5281825216,26959675.6
SME Fund (£25M),0.1,0.4,42,0.04997904,0.054886944,0.144885216,26386513.36
SME Fund (£25M),0.1,0.4,43,0.048350844,0.0331777504,0.1282125408,26251699.12
SME Fund (£25M),0.1,0.4,44,0.048681428,0.0778902848,0.3634791616,26720066.08
SME Fund (£25M),0.1,0.4,45,0.049963452,0.0799415232,0.1954305984,26543338.0
SME Fund (£25M),0.1,0.4,46,0.049528788,0.0792460608,0.2988906816,26661361.84
SME Fund (£25M),0.1,0.4,47,0.049610572,0.040817901866666666,0.1356184224,26314801.6
SME Fund (£25M),0.1,0.4,48,0.04987286,-0.16951177066666667,0.010008144,25374298.24
SME Fund (£25M),0.1,0.4,49,0.049797452,-0.006175303466666666,0.1078411104,26107593.04
Mid-Market DL (£100M),0.02,0.4,0,0.06,0.096302745,0.571170496,111837759.86
Mid-Market DL (£100M),0.02,0.4,1,0.06,0.09338931,0.000805758,106075843.78
Mid-Market DL (£100M),0.02,0.4,2,0.06,0.08986625,0.771893,113716255.0
Mid-Market DL (£100M),0.02,0.4,3,0.06,0.093291065,0.51479384,111213759.7
Mid-Market DL (£100M),0.02,0.4,4,0.06,0.07799137,0.762393096,113383758.36
Mid-Market DL (£100M),0.02,0.4,5,0.06,0.08657464,0.769259712,113624089.92
Mid-Market DL (£100M),0.02,0.4,6,0.06,0.097742695,0.623098814,112385842.04
Mid-Market DL (£100M),0.02,0.4,7,0.06,0.093169525,0.452987786,110593268.36
Mid-Market DL (£100M),0.02,0.4,8,0.06,0.07365468,0.554038982,111213483.42
Mid-Market DL (£100M),0.02,0.4,9,0.06,0.0701232255,0.634959263,111952057.14
Mid-Market DL (£100M),0.02,0.4,10,0.06,0.079091815,0.475736906,110539205.36
Mid-Market DL (£100M),0.02,0.4,11,0.06,0.09616327,0.58338369,111957102.3
Mid-Market DL (£100M),0.02,0.4,12,0.06,0.095977105,0.292418976,109043731.86
Mid-Market DL (£100M),0.02,0.4,13,0.06,0.068121972,0.7153662,112716101.44
Mid-Market DL (£100M),0.02,0.4,14,0.06,0.080153915,0.606047366,111863551.96
Mid-Market DL (£100M),0.02,0.4,15,0.06,0.093814675,0.3603513,109679806.5
Mid-Market DL (£100M),0.02,0.4,16,0.06,0.09408015,0.77526412,113834244.2
Mid-Market DL (£100M),0.02,0.4,17,0.06,0.081454735,0.644170236,112270797.06
Mid-Market DL (£100M),0.02,0.4,18,0.06,0.08708972,0.480299216,110744786.56
Mid-Market DL (£100M),0.02,0.4,19,0.06,0.09426651,0.775413208,113839462.28
Mid-Market DL (£100M),0.02,0.4,20,0.06,0.09317387,0.774539096,113808868.36
Mid-Market DL (£100M),0.02,0.4,21,0.06,0.0833389,0.76667112,113533489.2
Mid-Market DL (£100M),0.02,0.4,22,0.06,0.068801892,0.7266982,112843019.84
Mid-Market DL (£100M),0.02,0.4,23,0.06,0.09871041,0.778968328,113963891.48
Mid-Market DL (£100M),0.02,0.4,24,0.06,0.070155828,0.7492638,113095754.56
Mid-Market DL (£100M),0.02,0.4,25,0.06,0.09211773,0.635906924,112401423.84
Mid-Market DL (£100M),0.02,0.4,26,0.06,0.09752244,0.522083772,111371286.52
Mid-Market DL (£100M),0.02,0.4,27,0.06,0.09341238,0.774729904,113815546.64
Mid-Market DL (£100M),0.02,0.4,28,0.06,0.088947335,0.771157868,113690525.38
Mid-Market DL (£100M),0.02,0.4,29,0.06,0.09022555,0.010784598,106112356.98
Mid-Market DL (£100M),0.02,0.4,30,0.06,0.09807032,0.778456256,113945968.96
Mid-Market DL (£100M),0.02,0.4,31,0.06,0.0997308,0.63584539,112553069.9
Mid-Market DL (£100M),0.02,0.4,32,0.06,0.06722646,0.55630639,111107593.1
Mid-Market DL (£100M),0.02,0.4,33,0.06,0.088488635,0.520285294,111172625.64
Mid-Market DL (£100M),0.02,0.4,34,0.06,0.089497815,0.54665135,111456469.8
